All Students,Male,Female,General Education Students,Students with Disabilities,American Indian or Alaska Native,Asian or Native Hawaiian/Other Pacific Islander,Black or African American,Hispanic or Latino,White,Multiracial,Economically Disadvantaged,Not Economically Disadvantaged,English Language Learner,NonEnglish Language Learner,Not in Foster Care,Homeless,Not Homeless,Migrant,Not Migrant,Parent Not in Armed Forces
100%,100%,86%,,,,93%,71%,84%,,92%,81%,100%,44%,100%,,,100%,,100%,100%
91%,88%,96%,96%,56%,,92%,89%,89%,,,89%,95%,60%,91%,91%,47%,91%,,91%,
92%,80%,91%,92%,56%,,96%,87%,75%,83%,85%,83%,87%,52%,92%,92%,,,,92%,
85%,90%,92%,98%,62%,,81%,84%,,,80%,89%,93%,40%,,85%,,,,85%,85%
91%,87%,96%,95%,67%,,92%,69%,95%,92%,88%,83%,96%,56%,,91%,52%,,,91%,91%
93%,98%,96%,98%,90%,,80%,85%,97%,,87%,96%,98%,,93%,93%,73%,,,93%,93%
97%,91%,100%,98%,82%,,92%,81%,97%,97%,94%,91%,98%,45%,97%,97%,62%,,,97%,97%
96%,97%,100%,100%,87%,,97%,84%,100%,,97%,95%,100%,38%,,96%,,,,96%,96%
98%,82%,100%,93%,77%,,100%,88%,97%,88%,,80%,95%,,98%,98%,,,,98%,98%
88%,85%,88%,91%,60%,,,86%,87%,86%,,78%,94%,20%,,88%,78%,,,88%,88%
87%,96%,100%,98%,100%,,,93%,96%,,97%,96%,100%,,87%,87%,,,,87%,87%
98%,100%,97%,98%,100%,,100%,70%,89%,98%,95%,95%,100%,,98%,98%,,98%,,,98%
98%,86%,86%,,,,82%,73%,95%,,91%,83%,87%,,98%,98%,,,,98%,98%
86%,95%,98%,98%,67%,,,65%,96%,96%,93%,71%,100%,,86%,86%,100%,86%,,86%,86%
96%,92%,95%,,,,,83%,82%,97%,94%,95%,93%,,96%,96%,68%,96%,,96%,96%
94%,82%,93%,91%,75%,,,93%,,,88%,84%,92%,52%,,94%,,,,,94%
88%,96%,88%,94%,86%,,,83%,88%,,94%,83%,96%,,88%,88%,,,,88%,88%
93%,78%,92%,90%,40%,,,86%,88%,88%,76%,83%,86%,,93%,93%,81%,93%,,93%,93%
85%,93%,94%,,,,100%,84%,100%,,,89%,100%,,85%,85%,86%,85%,,85%,85%
94%,81%,92%,92%,69%,,,83%,76%,89%,100%,81%,92%,80%,94%,94%,,94%,,94%,94%
87%,83%,94%,90%,88%,,,77%,,,,92%,88%,44%,,87%,,88%,,87%,87%
90%,89%,98%,97%,74%,,,,90%,93%,75%,88%,96%,65%,90%,90%,,,,90%,90%
93%,95%,96%,97%,82%,,78%,90%,100%,96%,76%,95%,96%,33%,,93%,,,,93%,93%
95%,83%,92%,93%,57%,,,,100%,87%,,88%,87%,63%,,95%,,,,95%,95%
88%,93%,96%,98%,76%,,,73%,100%,96%,100%,92%,97%,64%,88%,,,88%,,88%,88%
94%,91%,92%,95%,65%,,100%,64%,98%,95%,,92%,91%,84%,95%,,,95%,,94%,
91%,94%,95%,95%,90%,,100%,100%,,96%,,87%,98%,23%,92%,91%,68%,92%,,91%,91%
94%,94%,96%,99%,65%,,,100%,88%,97%,,86%,97%,57%,,94%,88%,,,94%,94%
95%,90%,95%,95%,76%,,,,100%,94%,,81%,97%,71%,95%,95%,,,,95%,95%
92%,92%,98%,97%,79%,,91%,,84%,95%,,97%,94%,,92%,,69%,,,92%,
95%,98%,98%,99%,91%,,,,100%,98%,100%,94%,99%,0%,,,60%,95%,,,95%
98%,97%,94%,98%,78%,,100%,100%,,96%,,88%,97%,31%,98%,,75%,,,98%,98%
95%,81%,87%,88%,50%,,,,91%,84%,,84%,84%,32%,96%,95%,,95%,,95%,95%
84%,98%,99%,100%,86%,,,87%,89%,98%,,100%,98%,61%,84%,84%,,,,84%,84%
98%,91%,95%,96%,72%,,100%,73%,68%,94%,,90%,94%,59%,,98%,,98%,,98%,98%
93%,72%,76%,79%,54%,,100%,,82%,67%,,72%,86%,83%,,93%,,,,93%,93%
74%,89%,98%,96%,74%,,,84%,82%,95%,,90%,95%,39%,77%,74%,67%,74%,,74%,74%
93%,91%,94%,96%,61%,,,82%,88%,92%,,92%,92%,42%,93%,94%,76%,93%,,93%,93%
92%,94%,97%,98%,83%,,100%,73%,75%,96%,,92%,97%,,92%,92%,,93%,,,92%
96%,80%,92%,92%,67%,,,100%,83%,90%,,85%,91%,,,96%,60%,96%,,96%,96%
88%,83%,85%,91%,59%,,85%,,79%,88%,,83%,86%,55%,88%,88%,100%,88%,,88%,
84%,88%,97%,98%,20%,,,86%,74%,,100%,83%,100%,47%,86%,84%,71%,85%,,84%,84%
93%,92%,98%,95%,92%,,,63%,80%,95%,83%,89%,97%,33%,93%,93%,60%,,,93%,93%
94%,96%,87%,93%,89%,,,,80%,93%,100%,96%,88%,,,94%,88%,,,,94%
92%,85%,88%,95%,67%,,,100%,79%,,,81%,95%,57%,,92%,,92%,,92%,92%
87%,85%,93%,91%,79%,,,90%,75%,92%,,89%,89%,66%,87%,87%,,,,87%,87%
89%,73%,81%,79%,61%,,100%,90%,86%,0%,100%,83%,65%,61%,93%,89%,,,,89%,89%
77%,74%,85%,79%,81%,,90%,74%,87%,,,79%,78%,43%,82%,77%,,77%,,77%,77%
